simulation_index,reproduction_minimum,newborn_energy,transferred_energy,amount_of_iterations,immunological_time_span,bite_transfer,mahalanobis,immunological_maturity,good_agent_energy,evaluation_method,fitness_calls,iemas_fitness,time_elapsed
873,80,110,50,20,23,15,1.2,15,110,rastrigin,69,90.9656065801,1070
233,80,110,50,20,26,20,1.2,17,110,rastrigin,65,86.8010333555,960
956,80,110,50,20,26,10,1.2,19,110,schwefel,132,11256.2621193,1360
695,80,110,50,20,20,20,1.4,17,110,rastrigin,57,81.7260114028,940
662,80,110,50,20,26,20,1.2,19,110,schwefel,136,11030.4292543,1350
744,80,110,50,20,26,10,1.2,15,110,rastrigin,70,95.3641970567,970
1,80,110,50,20,20,20,1.2,15,110,schwefel,108,11025.5752918,1260
832,80,110,50,20,23,15,1.2,15,110,schwefel,121,10867.5916494,1230
375,80,110,50,20,20,10,1.4,19,110,rastrigin,67,75.499180625,1050
920,80,110,50,20,26,15,1.4,15,110,rastrigin,74,95.229816032,1060
848,80,110,50,20,23,20,1.2,17,110,rastrigin,64,84.800292617,1000
806,80,110,50,20,23,20,1.4,17,110,schwefel,69,11314.7435474,1020
770,80,110,50,20,23,15,1.2,17,110,rastrigin,60,83.7458005254,990
279,80,110,50,20,26,15,1.4,15,110,schwefel,91,11071.6073282,1120
422,80,110,50,20,23,10,1.4,19,110,rastrigin,61,76.8519743942,1060
431,80,110,50,20,20,10,1.2,19,110,schwefel,111,10956.4215243,1150
46,80,110,50,20,20,15,1.4,17,110,rastrigin,56,75.3456478118,950
623,80,110,50,20,23,15,1.4,17,110,schwefel,68,11845.9408332,1090
993,80,110,50,20,20,10,1.4,17,110,schwefel,64,11500.6041612,1050
158,80,110,50,20,26,10,1.4,15,110,schwefel,86,11295.7820631,1160
976,80,110,50,20,26,10,1.4,19,110,rastrigin,61,75.5740170788,990
699,80,110,50,20,26,15,1.2,19,110,schwefel,129,11020.0206273,1380
713,80,110,50,20,26,20,1.4,15,110,schwefel,99,11001.0735389,1130
283,80,110,50,20,26,20,1.4,17,110,rastrigin,61,83.7943442407,990
95,80,110,50,20,20,20,1.4,19,110,rastrigin,65,78.6814709984,1030
195,80,110,50,20,26,15,1.2,17,110,schwefel,135,10719.2005907,1310
604,80,110,50,20,26,20,1.4,19,110,schwefel,68,11568.7061551,1010
297,80,110,50,20,23,15,1.2,19,110,schwefel,123,10930.9720149,1270
468,80,110,50,20,26,15,1.2,15,110,rastrigin,74,92.8190431274,1020
931,80,110,50,20,26,10,1.4,15,110,rastrigin,72,87.9145084042,1050
785,80,110,50,20,23,10,1.4,17,110,schwefel,72,11356.2422006,1050
369,80,110,50,20,23,15,1.4,17,110,rastrigin,57,82.0678069373,960
198,80,110,50,20,23,20,1.2,17,110,schwefel,118,10923.9658504,1260
144,80,110,50,20,26,15,1.4,19,110,schwefel,69,11406.485035,1030
633,80,110,50,20,20,20,1.4,17,110,schwefel,62,11511.2073478,1030
56,80,110,50,20,26,20,1.4,15,110,rastrigin,80,98.4711767411,1030
147,80,110,50,20,23,15,1.4,19,110,rastrigin,63,76.394898589,1050
904,80,110,50,20,20,15,1.2,17,110,rastrigin,59,78.5434126783,930
712,80,110,50,20,23,20,1.4,15,110,schwefel,79,11308.6767817,1060
148,80,110,50,20,23,10,1.2,19,110,schwefel,127,10988.9760184,1240
569,80,110,50,20,23,10,1.4,15,110,schwefel,78,11112.7106687,1080
991,80,110,50,20,23,20,1.4,19,110,schwefel,65,11056.6538905,990
129,80,110,50,20,26,20,1.2,17,110,schwefel,135,11000.7798407,1300
395,80,110,50,20,23,10,1.4,15,110,rastrigin,65,80.4467057951,980
35,80,110,50,20,26,20,1.4,17,110,schwefel,77,11379.8906253,1160
694,80,110,50,20,23,20,1.2,15,110,rastrigin,69,91.0193088418,980
990,80,110,50,20,20,10,1.2,17,110,schwefel,109,11215.1085829,1210
636,80,110,50,20,23,20,1.4,19,110,rastrigin,60,77.2638841673,960
999,80,110,50,20,20,10,1.4,15,110,schwefel,66,11206.5188463,1070
402,80,110,50,20,20,15,1.2,19,110,schwefel,111,11023.8513123,1160
518,80,110,50,20,20,20,1.4,19,110,schwefel,66,11458.1486382,1100
495,80,110,50,20,26,10,1.2,15,110,schwefel,136,11050.1272189,1210
573,80,110,50,20,23,10,1.2,19,110,rastrigin,64,83.3465813862,1030
500,80,110,50,20,20,20,1.2,19,110,rastrigin,68,84.0674621646,1000
223,80,110,50,20,20,10,1.2,15,110,schwefel,112,11229.0732216,1230
383,80,110,50,20,26,10,1.2,19,110,rastrigin,64,89.1317530906,960
403,80,110,50,20,23,15,1.4,15,110,schwefel,76,11309.9180427,980
314,80,110,50,20,23,20,1.2,15,110,schwefel,121,10989.7369702,1250
112,80,110,50,20,20,15,1.2,15,110,rastrigin,59,79.0820338449,930
